id,session_id,map_id,node_id,date_stamp
10.100.20.26,8,6,1,3,1410858624
10.100.20.26,9,6,1,4,1410858627
10.100.20.26,10,6,1,5,1410858630
10.100.20.26,11,6,1,6,1410858633
10.100.20.26,12,6,1,9,1410858635
10.100.20.26,13,6,1,6,1410858636
10.100.20.26,14,6,1,11,1410858637
10.100.20.26,15,6,1,14,1410858639
10.100.20.26,16,6,1,44,1410858640
10.100.20.26,17,6,1,24,1410858641
10.100.20.26,18,6,1,45,1410858648
10.100.20.26,19,6,1,26,1410858652
10.100.20.26,20,6,1,46,1410858654
10.100.20.26,21,6,1,27,1410858655
10.100.20.26,22,6,1,46,1410858657
10.100.20.26,23,6,1,28,1410858658
10.100.20.26,24,6,1,29,1410858690
10.100.20.26,25,6,1,30,1410858693
10.100.20.26,26,6,1,31,1410858696
10.100.20.26,27,6,1,32,1410858714
10.100.20.26,28,6,1,33,1410858716
10.100.20.26,29,6,1,34,1410858718
10.100.20.26,30,6,1,35,1410858719
10.100.20.26,31,6,1,37,1410858743
10.100.20.26,32,6,1,68,1410858750
10.100.20.26,33,6,1,69,1410858753
10.100.20.26,34,6,1,68,1410858755
10.100.20.26,35,6,1,70,1410858756
10.100.20.26,36,6,1,71,1410858758
10.100.20.26,37,6,1,74,1410858759
10.100.20.26,38,6,1,71,1410858760
10.100.20.26,39,6,1,72,1410858761
10.100.20.26,40,6,1,75,1410858762
10.100.20.26,41,6,1,76,1410858763
10.100.20.26,42,6,1,75,1410858764
10.100.20.26,43,6,1,77,1410858765
10.100.20.26,44,6,1,78,1410858766
10.100.20.26,45,6,1,80,1410858767
10.100.20.26,46,6,1,81,1410858768
10.100.20.26,47,6,1,82,1410858770
10.100.20.26,48,7,1,3,1410858780
10.100.20.26,49,8,1,3,1410858907
10.100.20.26,263,73,1,78,1410996275
10.100.20.26,264,73,1,79,1410996289
10.100.20.26,265,73,1,78,1410996301
10.100.20.26,266,73,1,80,1410996303
10.100.20.26,267,73,1,81,1410996336
10.100.20.26,268,73,1,83,1410996346
10.100.20.26,269,75,1,3,1411033836
10.100.20.26,270,75,1,4,1411033851
10.100.20.26,271,75,1,5,1411033872
10.100.20.26,272,75,1,6,1411033877
10.100.20.26,273,76,1,3,1411035698
10.100.20.26,274,76,1,3,1411035704
10.100.20.26,275,76,1,4,1411035706
10.100.20.26,276,77,1,3,1411038184
10.100.20.26,277,78,1,3,1411042008
10.100.20.26,278,79,1,3,1411046153
10.100.20.26,279,79,1,4,1411046184
10.100.20.26,280,79,1,5,1411046428
10.100.20.26,281,79,1,6,1411046495
10.100.20.26,282,79,1,10,1411046517
10.100.20.26,283,79,1,12,1411046677
10.100.20.26,284,79,1,42,1411046710
10.100.20.26,285,79,1,24,1411046734
10.100.20.26,286,79,1,45,1411047016
10.100.20.26,287,79,1,26,1411047029
10.100.20.26,288,79,1,46,1411047277
10.100.20.26,289,79,1,28,1411047287
10.100.20.26,290,79,1,29,1411047689
10.100.20.26,291,79,1,30,1411047698
10.100.20.26,292,79,1,31,1411047889
10.100.20.26,293,79,1,32,1411047997
10.100.20.26,294,79,1,33,1411048008
10.100.20.26,295,79,1,34,1411048085
10.100.20.26,296,79,1,35,1411048123
10.100.20.26,297,79,1,37,1411048142
10.100.20.26,298,79,1,68,1411048171
10.100.20.26,299,79,1,70,1411048186
10.100.20.26,300,79,1,71,1411048189
10.100.20.26,301,79,1,73,1411048228
10.100.20.26,302,79,1,71,1411048238
10.100.20.26,303,79,1,72,1411048242
10.100.20.26,304,79,1,75,1411048278
10.100.20.26,305,79,1,77,1411048302
10.100.20.26,306,79,1,78,1411048449
10.100.20.26,307,79,1,79,1411048465
10.100.20.26,308,79,1,78,1411048471
10.100.20.26,309,79,1,80,1411048472
10.100.20.26,379,84,1,29,1411057908
